Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Region,Total Revenue
1,24-11-2023,CUST001,Male,34,Beauty,3,50,150,East,0.06
2,27-02-2023,CUST002,Female,26,Clothing,2,500,1000,Oceania,0.00
3,13-01-2023,CUST003,Male,50,Electronics,1,30,30,Oceania,0.03
4,21-05-2023,CUST004,Male,37,Clothing,1,500,500,Central,0.00
5,06-05-2023,CUST005,Male,30,Beauty,2,50,100,Africa,0.04
6,25-04-2023,CUST006,Female,45,Beauty,1,30,30,Oceania,0.03
7,13-03-2023,CUST007,Male,46,Clothing,2,25,50,Oceania,0.08
8,22-02-2023,CUST008,Male,30,Electronics,4,25,100,Oceania,0.16
9,13-12-2023,CUST009,Male,63,Electronics,2,300,600,West,0.01
10,07-10-2023,CUST010,Female,52,Clothing,4,50,200,South,0.08
11,14-02-2023,CUST011,Male,23,Clothing,2,50,100,South,0.04
12,30-10-2023,CUST012,Male,35,Beauty,3,25,75,Central Asia,0.12
13,05-08-2023,CUST013,Male,22,Electronics,3,500,1500,EMEA,0.01
14,17-01-2023,CUST014,Male,64,Clothing,4,30,120,South,0.13
15,16-01-2023,CUST015,Female,42,Electronics,4,500,2000,North Asia,0.01
16,17-02-2023,CUST016,Male,19,Clothing,3,500,1500,Central,0.01
17,22-04-2023,CUST017,Female,27,Clothing,4,25,100,South,0.16
18,30-04-2023,CUST018,Female,47,Electronics,2,25,50,South,0.08
19,16-09-2023,CUST019,Female,62,Clothing,2,25,50,Oceania,0.08
20,05-11-2023,CUST020,Male,22,Clothing,3,300,900,Africa,0.01
21,14-01-2023,CUST021,Female,50,Beauty,1,500,500,EMEA,0.00
22,15-10-2023,CUST022,Male,18,Clothing,2,50,100,Central,0.04
23,12-04-2023,CUST023,Female,35,Clothing,4,30,120,North Asia,0.13
24,29-11-2023,CUST024,Female,49,Clothing,1,300,300,North,0.00
25,26-12-2023,CUST025,Female,64,Beauty,1,50,50,North,0.02
26,07-10-2023,CUST026,Female,28,Electronics,2,500,1000,Central,0.00
27,03-08-2023,CUST027,Female,38,Beauty,2,25,50,North Asia,0.08
28,23-04-2023,CUST028,Female,43,Beauty,1,500,500,Central,0.00
29,18-08-2023,CUST029,Female,42,Electronics,1,30,30,West,0.03
30,29-10-2023,CUST030,Female,39,Beauty,3,300,900,Central Asia,0.01
31,23-05-2023,CUST031,Male,44,Electronics,4,300,1200,Caribbean,0.01
32,04-01-2023,CUST032,Male,30,Beauty,3,30,90,Central,0.10
33,23-03-2023,CUST033,Female,50,Electronics,2,50,100,Central,0.04
34,24-12-2023,CUST034,Female,51,Clothing,3,50,150,Oceania,0.06
35,05-08-2023,CUST035,Female,58,Beauty,3,300,900,West,0.01
36,24-06-2023,CUST036,Male,52,Beauty,3,300,900,Africa,0.01
37,23-05-2023,CUST037,Female,18,Beauty,3,25,75,East,0.12
38,21-03-2023,CUST038,Male,38,Beauty,4,50,200,South,0.08
39,21-04-2023,CUST039,Male,23,Clothing,4,30,120,North,0.13
40,22-06-2023,CUST040,Male,45,Beauty,1,50,50,Oceania,0.02
41,22-02-2023,CUST041,Male,34,Clothing,2,25,50,Southeast Asia,0.08
42,17-02-2023,CUST042,Male,22,Clothing,3,300,900,Central Asia,0.01
43,14-07-2023,CUST043,Female,48,Clothing,1,300,300,Central Asia,0.00
44,19-02-2023,CUST044,Female,22,Clothing,1,25,25,North,0.04
45,03-07-2023,CUST045,Female,55,Electronics,1,30,30,Central,0.03
46,26-06-2023,CUST046,Female,20,Electronics,4,300,1200,Central,0.01
47,06-11-2023,CUST047,Female,40,Beauty,3,500,1500,Central,0.01
48,16-05-2023,CUST048,Male,54,Electronics,3,300,900,North Asia,0.01
49,23-01-2023,CUST049,Female,54,Electronics,2,500,1000,Central Asia,0.00
50,24-08-2023,CUST050,Female,27,Beauty,3,25,75,South,0.12
51,02-10-2023,CUST051,Male,27,Beauty,3,25,75,East,0.12
52,05-03-2023,CUST052,Female,36,Beauty,1,300,300,EMEA,0.00
53,13-07-2023,CUST053,Male,34,Electronics,2,50,100,West,0.04
54,10-02-2023,CUST054,Female,38,Electronics,3,500,1500,North Asia,0.01
55,10-10-2023,CUST055,Male,31,Beauty,4,30,120,Africa,0.13
56,31-05-2023,CUST056,Female,26,Clothing,3,300,900,Central Asia,0.01
57,18-11-2023,CUST057,Female,63,Beauty,1,30,30,West,0.03
58,13-11-2023,CUST058,Male,18,Clothing,4,300,1200,Central Asia,0.01
59,05-07-2023,CUST059,Male,62,Clothing,1,50,50,Oceania,0.02
60,23-10-2023,CUST060,Male,30,Beauty,3,50,150,South,0.06
61,09-04-2023,CUST061,Male,21,Beauty,4,50,200,Central Asia,0.08
62,27-12-2023,CUST062,Male,18,Beauty,2,50,100,East,0.04
63,05-02-2023,CUST063,Male,57,Electronics,2,25,50,Central,0.08
64,24-01-2023,CUST064,Male,49,Clothing,4,25,100,Central,0.16
65,05-12-2023,CUST065,Male,51,Electronics,4,500,2000,North Asia,0.01
66,27-04-2023,CUST066,Female,45,Electronics,1,30,30,South,0.03
67,29-05-2023,CUST067,Female,48,Beauty,4,300,1200,South,0.01
68,10-02-2023,CUST068,Male,25,Electronics,1,300,300,Central Asia,0.00
69,30-04-2023,CUST069,Female,56,Beauty,3,25,75,North,0.12
70,21-02-2023,CUST070,Female,43,Clothing,1,300,300,EMEA,0.00
